Средний доход;Уровень благосостояния
140199;Очень высокий
62178;Выше среднего
66448;Выше среднего
58590;Средний
154416;Богатство
134457;Очень высокий
13949;Бедность
174587;Богатство
134755;Очень высокий
34017;Ниже среднего
134055;Очень высокий
29669;Низкий
112390;Очень высокий
61168;Выше среднего
100189;Высокий
76815;Выше среднего
157326;Богатство
149178;Очень высокий
34041;Ниже среднего
132988;Очень высокий
17577;Бедность
150065;Богатство
42360;Средний
97638;Высокий
111736;Очень высокий
48619;Средний
48476;Средний
51231;Средний
92641;Высокий
86954;Высокий
69763;Выше среднего
101271;Высокий
14178;Бедность
122845;Очень высокий
30754;Ниже среднего
165323;Богатство
108691;Высокий
67555;Выше среднего
11618;Бедность
163469;Богатство
26034;Низкий
100626;Высокий
94639;Высокий
127247;Очень высокий
57059;Средний
37709;Ниже среднего
105001;Высокий
147776;Очень высокий
13279;Бедность
37135;Ниже среднего
33622;Ниже среднего
66571;Выше среднего
48854;Средний
124654;Очень высокий
47917;Средний
92535;Высокий
163112;Богатство
169242;Богатство
34307;Ниже среднего
25000;Низкий
30344;Ниже среднего
46597;Средний
87888;Высокий
10440;Бедность
145508;Очень высокий
54047;Средний
24159;Низкий
61519;Выше среднего
130900;Очень высокий
151540;Богатство
71576;Выше среднего
32308;Ниже среднего
161812;Богатство
148710;Очень высокий
173805;Богатство
137407;Очень высокий
136374;Очень высокий
124062;Очень высокий
68773;Выше среднего
66423;Выше среднего
151206;Богатство
76971;Выше среднего
99780;Высокий
38062;Ниже среднего
112026;Очень высокий
55379;Средний
53176;Средний
153894;Богатство
121959;Очень высокий
70056;Выше среднего
20239;Низкий
108367;Высокий
12311;Бедность
148597;Очень высокий
74980;Выше среднего
27701;Низкий
69884;Выше среднего
100553;Высокий
44616;Средний
16009;Бедность
68598;Выше среднего
76275;Выше среднего
77232;Выше среднего
12512;Бедность
37409;Ниже среднего
163070;Богатство
33643;Ниже среднего
146514;Очень высокий
95650;Высокий
116867;Очень высокий
152639;Богатство
164014;Богатство
85620;Высокий
84792;Выше среднего
94921;Высокий
87726;Высокий
165037;Богатство
83000;Выше среднего
145122;Очень высокий
113662;Очень высокий
173128;Богатство
156597;Богатство
132073;Очень высокий
25406;Низкий
61008;Выше среднего
13489;Бедность
115195;Очень высокий
14944;Бедность
72256;Выше среднего
128311;Очень высокий
136584;Очень высокий
61279;Выше среднего
32654;Ниже среднего
50109;Средний
171529;Богатство
116847;Очень высокий
10247;Бедность
117472;Очень высокий
174693;Богатство
34881;Ниже среднего
23292;Низкий
76011;Выше среднего
63915;Выше среднего
62457;Выше среднего
66373;Выше среднего
37855;Ниже среднего
100643;Высокий
69997;Выше среднего
50425;Средний
96370;Высокий
171021;Богатство
112686;Очень высокий
99889;Высокий
120948;Очень высокий
49802;Средний
104392;Высокий
91907;Высокий
125760;Очень высокий
46315;Средний
128104;Очень высокий
136863;Очень высокий
74143;Выше среднего
117240;Очень высокий
170766;Богатство
85666;Высокий
85117;Высокий
52741;Средний
94261;Высокий
154476;Богатство
166611;Богатство
143483;Очень высокий
47820;Средний
109629;Высокий
37853;Ниже среднего
77350;Выше среднего
42873;Средний
95710;Высокий
50531;Средний
167026;Богатство
159891;Богатство
18287;Бедность
111409;Очень высокий
160854;Богатство
93514;Высокий
34921;Ниже среднего
76967;Выше среднего
121148;Очень высокий
134887;Очень высокий
132038;Очень высокий
35326;Ниже среднего
102640;Высокий
129505;Очень высокий
19444;Бедность
134641;Очень высокий
132907;Очень высокий
65083;Выше среднего
145685;Очень высокий
155459;Богатство
59647;Средний
96922;Высокий
81240;Выше среднего
130012;Очень высокий
12729;Бедность
46136;Средний
138954;Очень высокий
163802;Богатство
113216;Очень высокий
28604;Низкий
136862;Очень высокий
15575;Бедность
105966;Высокий
14240;Бедность
112295;Очень высокий
161128;Богатство
105253;Высокий
143163;Очень высокий
79649;Выше среднего
60596;Выше среднего
149360;Очень высокий
17763;Бедность
96820;Высокий
118941;Очень высокий
34891;Ниже среднего
63055;Выше среднего
79723;Выше среднего
26810;Низкий
56059;Средний
88765;Высокий
87152;Высокий
149513;Очень высокий
162026;Богатство
61170;Выше среднего
42646;Средний
39942;Ниже среднего
173571;Богатство
157686;Богатство
52505;Средний
70223;Выше среднего
153066;Богатство
121114;Очень высокий
43976;Средний
43752;Средний
150394;Богатство
122941;Очень высокий
164764;Богатство
109298;Высокий
89486;Высокий
18507;Бедность
44667;Средний
142188;Очень высокий
